Input feed cut file input-unit/svv-dual-band-2.204GHz-rhcp.cut, CF(dB)=-0.30, complex field for theta,phi degrees
    THETA    PHI        POL-1,real         POL-1,imag         POL-2,real         POL-2,imag
  149.00     0.00       8.725558E-02      -3.256850E-02       1.451292E-02      -5.581033E-02
  150.00     0.00       8.175395E-02      -3.645736E-02       9.780713E-03      -6.063778E-02
  151.00     0.00       7.719293E-02      -4.010004E-02       6.081370E-03      -6.482630E-02
  152.00     0.00       7.336889E-02      -4.327832E-02       3.201521E-03      -6.811040E-02
  153.00     0.00       7.022324E-02      -4.583873E-02       8.888274E-04      -7.031962E-02
  154.00     0.00       6.760107E-02      -4.766941E-02      -1.126074E-03      -7.136848E-02
  155.00     0.00       6.533698E-02      -4.871271E-02      -3.103239E-03      -7.125367E-02
  156.00     0.00       6.326994E-02      -4.896089E-02      -5.273548E-03      -7.004182E-02
  157.00     0.00       6.125479E-02      -4.844878E-02      -7.824886E-03      -6.785374E-02
  158.00     0.00       5.917023E-02      -4.724448E-02      -1.089435E-02      -6.484729E-02
  159.00     0.00       5.692337E-02      -4.543965E-02      -1.456591E-02      -6.120084E-02
  160.00     0.00       5.445131E-02      -4.313996E-02      -1.887244E-02      -5.709838E-02
  161.00     0.00       5.172016E-02      -4.045670E-02      -2.380116E-02      -5.271732E-02
  162.00     0.00       4.872238E-02      -3.749976E-02      -2.930107E-02      -4.821934E-02
  163.00     0.00       4.547288E-02      -3.437228E-02      -3.529152E-02      -4.374421E-02
  164.00     0.00       4.200455E-02      -3.116692E-02      -4.167087E-02      -3.940648E-02
  165.00     0.00       3.836364E-02      -2.796362E-02      -4.832466E-02      -3.529449E-02
  166.00     0.00       3.460375E-02      -2.482160E-02      -5.513334E-02      -3.147136E-02
  167.00     0.00       3.078726E-02      -2.180689E-02      -6.197597E-02      -2.797753E-02
  168.00     0.00       2.697581E-02      -1.895279E-02      -6.873792E-02      -2.483285E-02
  169.00     0.00       2.323070E-02      -1.628792E-02      -7.531219E-02      -2.204124E-02
  170.00     0.00       1.961041E-02      -1.383118E-02      -8.160191E-02      -1.959396E-02
  171.00     0.00       1.616935E-02      -1.159352E-02      -8.752145E-02      -1.747307E-02
  172.00     0.00       1.295692E-02      -9.579624E-03      -9.299677E-02      -1.565461E-02
  173.00     0.00       1.001719E-02      -7.789572E-03      -9.796507E-02      -1.411133E-02
  174.00     0.00       7.388773E-03      -6.220276E-03      -1.023741E-01      -1.281493E-02
  175.00     0.00       5.104977E-03      -4.866737E-03      -1.061813E-01      -1.173791E-02
  176.00     0.00       3.196414E-03      -3.723687E-03      -1.093625E-01      -1.085664E-02
  177.00     0.00       1.681030E-03      -2.783800E-03      -1.118710E-01      -1.014623E-02
  178.00     0.00       5.818221E-04      -2.043063E-03      -1.136978E-01      -9.589639E-03
  179.00     0.00      -8.588999E-05      -1.497643E-03      -1.148288E-01      -9.173310E-03
